nombre,Danza,Cine,Musica,Teatro
Viernes de bohemia ,0,0,10,0
Ciclo de cine Marilyn Monroe ,0,10,0,0
Estreno de Largometraje ,0,10,0,0
Simposio sobre el largometraje MarÌa,0,10,0,0
Concierto Cristales,0,0,10,0
D'Regreso a Mi Tierra desde el 18 al 20 abril ,8,0,10,7
XVII FESTIVAL INTERNACIONAL DE TITERES desde el 21 al 29 de abril ,0,0,0,10
American Film Showcase / 23 al 24 de abril ,0,10,0,0
Semana del libro - celebracion dia del libro y la niñez del 23 al 25 ,5,8,5,5
Audiciones METROPOLIS desde el 25 al 27 abril ,0,0,10,0
Concierto navideño,0,0,10,0
61 Feria de Cali / 25 al 30 de Diciembre ,10,0,10,0
4 decadas de EUFORIA con Ensalsate /  26 al 30 de Diciembre ,10,0,10,0
Espectaculo Delirio / 26 al 30 Diciembre ,10,0,10,0
Fiesta Andina,10,0,10,0
Talleres de danzas indÌgenas,10,0,7,0
Caliwood- Actividades diarias ,0,10,0,6
Espectaculo Delirio,10,0,8,0
Convocatoria METROPOLIS,0,0,10,0
4 décadas de EUFORIA con Ensálsate,10,0,8,0
Día de la Afrocolombianidad y dÌa mundial de la diversidad cultural,8,0,9,0
Festival de la Herencia Africano /  del 21 al 26 mayo ,0,0,10,0
Homenaje a las Madres en Teatro Al Aire Libre Los Cristales,0,0,10,8
CEREMONIA DE PROMOCION ROCKOPOLIS,0,0,10,0
XXIV ENCUENTRO DE DANZAS FOLCLÓRICAS MERCEDES MONTA—O - desde 1 al 3 junio ,10,0,8,0
IX Encuentro Popular de Teatro Joven del 1 al 30 de junio ,0,0,10,8
XI Festival internacional de Ballet- Fundación Danza Conmigo,10,0,6,0